countries,,pearson corr,,pearson p,spearman corr,spearman p,,,,,,,
Afghanistan,,Somalia,,0.3926338393907,7.21489259749505E-13,0.534704349127799,2.53419015442184E-24,,,,MTQ Martinique ,MTQ,Martinique
Afghanistan,,South Africa,,0.625499419393507,4.59818444884315E-35,0.780346646872287,9.32095477974471E-65,,,,MUS Mauritius ,MUS,Mauritius
Afghanistan,,South Korea,,0.068288431418207,0.230572778622407,-0.191296473047663,0.000709615457357,,,,MWI Malawi ,MWI,Malawi
Afghanistan,,South Sudan,,0.160074952518893,0.004724146867164,0.193512818397089,0.000612949123708,,,,MYS Malaysia ,MYS,Malaysia
Afghanistan,,Spain,,0.556769187979443,1.23627376634607E-26,0.082978129269117,0.144952631496503,,,,MYT Mayotte ,MYT,Mayotte
Afghanistan,,Sri Lanka,,0.333694675856782,1.68964071285859E-09,0.493255671038175,2.06129061851201E-20,,,,NAM Namibia ,NAM,Namibia
Afghanistan,,Sudan,,0.458170263219886,1.70807923717865E-17,0.700920449973883,4.04292542535117E-47,,,,NCL New Caledonia ,NCL,New Caledonia
Afghanistan,,Suriname,,0.199984144256557,0.000396032926314,0.071411256722048,0.209897635852527,,,,NER Niger ,NER,Niger
Afghanistan,,Swaziland,,0.376314713591592,7.25883880676139E-12,0.474657204133355,7.99567109208232E-19,,,,NFK Norfolk Island ,NFK,Norfolk Island
Afghanistan,,Sweden,,0.616142687644482,8.5782124238205E-34,0.743289852282016,1.02370027627697E-55,,,,NGA Nigeria ,NGA,Nigeria
Afghanistan,,Switzerland,,0.377008832868712,6.59699523589495E-12,0.287514011742075,2.59208966356769E-07,,,,NIC Nicaragua ,NIC,Nicaragua
Afghanistan,,Syria,,0.421774961249705,8.41114625813055E-15,0.222934941136552,7.51830117679931E-05,,,,NIU Niue ,NIU,Niue
Afghanistan,,Taiwan,,0.297910709947755,8.99478986211454E-08,0.094563028937155,0.09652199253591,,,,NLD Netherlands ,NLD,Netherlands
Afghanistan,,Tajikistan,,0.101768873479312,0.073576907505062,-0.001171769125322,0.983606391907423,,,,NOR Norway ,NOR,Norway
Afghanistan,,Tanzania,,0.311189605444681,2.18734291540636E-08,0.569962984494015,4.22152863416575E-28,,,,NPL Nepal ,NPL,Nepal
Afghanistan,,Thailand,,0.42439283757759,5.51827659607981E-15,0.235052877946591,2.90826978969235E-05,,,,NRU Nauru ,NRU,Nauru
Afghanistan,,Timor,,0.143574936369153,0.011379923608142,0.016691697419799,0.769735554995727,,,,NZL New Zealand ,NZL,New Zealand
Afghanistan,,Togo,,0.268667487368534,1.5881918034152E-06,0.543844320558113,2.93034114424949E-25,,,,OMN Oman ,OMN,Oman
Afghanistan,,Trinidad and Tobago,,0.242387164288014,1.59644488612432E-05,-0.154551177014178,0.006399782907515,,,,PAK Pakistan ,PAK,Pakistan
Afghanistan,,Tunisia,,0.596672837955485,2.78985935804938E-31,0.103693402371777,0.068265058463891,,,,PAN Panama ,PAN,Panama
Afghanistan,,Turkey,,0.427965311503604,3.08622717475977E-15,0.635115777972712,2.04533546045729E-36,,,,PCN Pitcairn ,PCN,Pitcairn
Afghanistan,,Uganda,,0.34588972246166,3.85763931256537E-10,0.114075066479411,0.044755964955397,,,,PER Peru ,PER,Peru
Afghanistan,,Ukraine,,0.550902706425087,5.2908799574848E-26,0.664259857364696,8.04964373499391E-41,,,,PHL Philippines ,PHL,Philippines
Afghanistan,,United Arab Emirates,,0.771809766784338,1.59527029556937E-62,0.498508055033191,7.04125753356874E-21,,,,PLW Palau ,PLW,Palau
Afghanistan,,United Kingdom,,0.504547877688017,2.00071926543949E-21,0.240079998050313,1.93189335350714E-05,,,,PNG Papua New Guinea ,PNG,Papua New Guinea
Afghanistan,,United States,,0.7940339121339,1.4829161865054E-68,0.623816300225263,7.84081712882306E-35,,,,POL Poland ,POL,Poland
Afghanistan,,Uruguay,,0.273202043411339,1.03947837011856E-06,0.306418275700918,3.66516606301045E-08,,,,PRI Puerto Rico ,PRI,Puerto Rico
Afghanistan,,Uzbekistan,,0.289349492912082,2.15689408112395E-07,0.483183249653494,1.53656239307935E-19,,,,"PRK Korea, Democratic People's Republic of ",PRK,"Korea, Democratic People's Republic of"
Afghanistan,,Vanuatu,,-0.07863283603468,0.167272751581751,-0.024603218101767,0.666105055130747,,,,PRT Portugal ,PRT,Portugal
Afghanistan,,Vatican,,0.431207474115829,1.81046967419572E-15,0.426991844456022,3.61821198263374E-15,,,,PRY Paraguay ,PRY,Paraguay
