countries,pearson corr,pearson p,spearman corr,spearman p
France_Saint Kitts and Nevis,0.10103221072011756,0.07569716308631608,0.17411325819064227,0.002092847088298429
France_Saint Lucia,0.22086241032836645,8.799595741419312e-05,0.2487999137903602,9.302705416919749e-06
France_Saint Vincent and the Grenadines,0.04472197674322462,0.43267443180891385,-0.1127450988332423,0.04732374517926386
France_San Marino,0.7073333487215261,2.5398052233952426e-48,0.4777966173741593,4.379503286205901e-19
France_Sao Tome and Principe,-0.09384652994571299,0.09908508433021646,-0.6464615757814723,4.498063691848608e-38
France_Saudi Arabia,0.6568327556814106,1.1880728708284425e-39,-0.01768143035829891,0.7564998798949504
France_Senegal,0.6117852643699226,3.241887723885755e-33,-0.11448502119384686,0.043988442016319254
France_Serbia,0.45919237114960887,1.4195422944906583e-17,0.1360127835514683,0.016564982770059574
France_Seychelles,0.06571300314105508,0.2486764766222377,0.09595361812487521,0.09169831456486466
France_Sierra Leone,-0.053356564699425076,0.34911293786604747,-0.4850942208844547,1.0549686790067554e-19
France_Singapore,0.313567759184862,1.685337237515271e-08,0.15303954749542084,0.006942822937159705
France_Slovakia,0.5205481343872185,6.308391259296543e-23,0.5644382246805022,1.7685137773506463e-27
France_Slovenia,0.5860548404783521,5.55815954378479e-30,0.5412512640886499,5.440480630610843e-25
France_Solomon Islands,-0.060719180352060434,0.28654285763599163,0.20464327748158068,0.0002867113297518305
France_Somalia,0.07069066946330926,0.21454557956842807,-0.20813252979809574,0.00022404267628970846
France_South Africa,0.5145490424426556,2.3555814629131145e-22,-0.24213845279990184,1.629754886228618e-05
France_South Korea,0.26357640500373913,2.532914407206613e-06,0.44090227786740777,3.5495374820444687e-16
France_South Sudan,-0.11368606264414188,0.045494626106428404,-0.5133521894383503,3.054233240173965e-22
France_Spain,0.9201091179650271,2.0416475783403244e-127,0.8499903679556235,9.858438069511968e-88
France_Sri Lanka,0.35941097989203064,6.950238158172376e-11,0.16964206795752867,0.002730630886181843
France_Sudan,0.06635138948109277,0.24409940270112462,-0.2638780166279354,2.4644898349814266e-06
France_Suriname,0.09386318112627481,0.09902491151517383,-0.3054729249611112,4.055438000817274e-08
France_Swaziland,0.10347126153539268,0.06886169436669413,-0.3660997852548204,2.8880127037303565e-11
France_Sweden,0.9134090864274584,2.92087359629058e-122,0.356143882131183,1.059477282447418e-10
France_Switzerland,0.8472008856672892,1.3383238660754926e-86,0.7127780206921771,2.2829663041684066e-49
France_Syria,0.08784981204707712,0.1227113069861113,-0.2836686817229481,3.793543056621251e-07
France_Taiwan,0.47260231333433367,1.181743591137906e-18,0.6618174288934183,1.9674890724541317e-40
France_Tajikistan,-0.11283319918400855,0.04714991751609539,-0.7461895739942175,2.2902644423851193e-56
France_Tanzania,0.22421314407783438,6.817908477706934e-05,0.3131020944827384,1.7739320093866643e-08
France_Thailand,0.47368617372341976,9.61996112722534e-19,0.6646931669889967,6.863333353379231e-41
France_Timor,0.03994729932717532,0.48343831223129985,0.21727880618855788,0.0001151146310696444
France_Togo,0.1993536299258515,0.0004135008882224059,-0.15529277004216765,0.006147542202111156
