,Country,Closeness,Betweeness,Eigenvector,FILTER
78,MEX,0.499429771908763,0.0012116686257,0.083390400263634,FALSE
79,MKD,0.397273682200153,0.00023712172276,0.060543131637957,FALSE
80,MLT,0.442532709286246,0.001044577925371,0.073367913090202,FALSE
81,MMR,0.431605975723623,0.000573551796909,0.070286397262233,FALSE
82,MNG,0.408889871738169,8.922271434768E-05,0.064036775886294,FALSE
83,MRT,0.418683641121119,0.00024126947624,0.067228375191361,FALSE
84,MUS,0.445351388963229,0.000729314406573,0.073248143770174,FALSE
85,MWI,0.395029198119926,0.000209334206264,0.060133452059639,FALSE
86,MYS,0.517927170868347,0.003444084208726,0.086290026051863,FALSE
87,NAM,0.41372880513152,0.000759296942797,0.065285528418912,FALSE
88,NGA,0.492395549769203,0.000721861188906,0.08239216747519,FALSE
89,NIC,0.399543817527011,0.000181092029531,0.061696234802817,FALSE
90,NLD,0.533741740971198,0.006757942615787,0.088763570514147,TRUE
91,NOR,0.506667884545122,0.002500712953639,0.084613704849605,FALSE
92,NZL,0.503022791850553,0.003007422070479,0.083819585901784,FALSE
93,OAS,0.514118882847257,0.003221183716556,0.085590996117811,FALSE
94,PAK,0.488952224246342,0.001787129817701,0.081604738883879,FALSE
95,PER,0.454027065371603,0.001224747888483,0.075449648153257,TRUE
96,PHL,0.492395549769203,0.002603283016225,0.082339161338026,FALSE
97,POL,0.495887716788843,0.003236943694361,0.08351693313041,FALSE
98,PRT,0.495887716788843,0.00328874507896,0.083436446283603,FALSE
99,PRY,0.41372880513152,0.000246315056794,0.065799404801974,FALSE
100,QAT,0.463047470643887,0.000671572491794,0.077104891832515,FALSE
101,ROM,0.46000110570544,0.001582637342647,0.077309445776625,FALSE
102,RUS,0.492395549769203,0.001706259154568,0.082319197134454,FALSE
103,RWA,0.416191476590636,0.000238825518568,0.066232780899222,FALSE
104,SAU,0.485556722689076,0.001365420274869,0.081128856557982,FALSE
105,SEN,0.448206205559147,0.000650031861475,0.074282145102694,FALSE
106,SER,0.434286758181534,0.000700364296509,0.070283761662712,FALSE
107,SGP,0.503022791850553,0.003149559018132,0.084057067812806,FALSE
108,SLV,0.38844537815126,0.000191086025748,0.058306540952914,FALSE
109,STP,0.334546258694865,1.53142207824158E-05,0.037929270963272,FALSE
110,SUR,0.406512605042017,0.000194647679832,0.063327777775129,FALSE
111,SVK,0.448206205559147,0.001488863786748,0.074212739056207,FALSE
112,SVN,0.43974948469954,0.001655415452727,0.07271475557579,FALSE
113,SWE,0.485556722689076,0.002810250856661,0.08163080603789,FALSE
114,SWZ,0.384176747622126,0.000204943194839,0.056243916154833,FALSE
115,SYC,0.401840046363373,0.000138259180387,0.061867036099859,FALSE
116,TGO,0.426342488214798,0.000277029910322,0.069468262377278,FALSE
117,THA,0.510366190271729,0.004562509266987,0.085052202505638,FALSE
118,TUN,0.445351388963229,0.000755438514013,0.073711601129243,FALSE
119,TUR,0.510366190271729,0.003859650734269,0.085311147079158,FALSE
120,URY,0.428958086302005,0.000862424034935,0.069669530473398,FALSE
121,USA,0.537847446670976,0.0055735139023,0.088763570514203,TRUE
122,UZB,0.392809932961949,6.77984344121872E-05,0.059812575586155,FALSE
123,VCT,0.382077421132387,0.00022980976214,0.05550774689914,FALSE
124,VNM,0.506667884545122,0.000441003220799,0.084615345140365,FALSE
125,WSM,0.33137520411008,0.000105377568821,0.036443390317989,FALSE
126,YEM,0.399543817527011,1.06045882763896E-05,0.061860276111742,FALSE
127,ZAF,0.503022791850553,0.00399153115281,0.084033887947072,FALSE
128,ZMB,0.418683641121119,0.00034703467089,0.066499606206701,FALSE
129,ZWE,0.41372880513152,0.00015673850686,0.065223343732272,FALSE
